year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100004092,SDRW2100004092.1.1.176,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004092\SDRW2100004092.1.1.176.lab,76,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004092\SDRW2100004092.1.1.176.wav,True,True,
2021,SDRW2100004093,SDRW2100004093.1.1.127,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004093\SDRW2100004093.1.1.127.lab,69,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004093\SDRW2100004093.1.1.127.wav,True,True,
2021,SDRW2100004094,SDRW2100004094.1.1.239,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004094\SDRW2100004094.1.1.239.lab,58,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004094\SDRW2100004094.1.1.239.wav,True,True,
2021,SDRW2100004097,SDRW2100004097.1.1.32,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004097\SDRW2100004097.1.1.32.lab,83,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004097\SDRW2100004097.1.1.32.wav,True,True,
2021,SDRW2100004125,SDRW2100004125.1.1.178,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004125\SDRW2100004125.1.1.178.lab,48,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004125\SDRW2100004125.1.1.178.wav,True,True,
2021,SDRW2100004133,SDRW2100004133.1.1.149,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.149.lab,76,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.149.wav,True,True,
2021,SDRW2100004133,SDRW2100004133.1.1.151,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.151.lab,61,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.151.wav,True,True,
2021,SDRW2100004133,SDRW2100004133.1.1.152,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.152.lab,68,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004133\SDRW2100004133.1.1.152.wav,True,True,
2021,SDRW2100004134,SDRW2100004134.1.1.194,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004134\SDRW2100004134.1.1.194.lab,46,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004134\SDRW2100004134.1.1.194.wav,True,True,
2021,SDRW2100004134,SDRW2100004134.1.1.237,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004134\SDRW2100004134.1.1.237.lab,20,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004134\SDRW2100004134.1.1.237.wav,True,True,
2021,SDRW2100004135,SDRW2100004135.1.1.107,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.107.lab,44,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.107.wav,True,True,
2021,SDRW2100004135,SDRW2100004135.1.1.145,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.145.lab,82,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004135\SDRW2100004135.1.1.145.wav,True,True,
