year,input_contract_id,utt_id,reason_code,exclusion_scope,evidence_path,decision,notes
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.145,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.146,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.147,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.148,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.149,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.15,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.150,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.151,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.152,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.153,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.154,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.155,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.156,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
